,0
329,10367.0
330,56246.0
331,30005.0
332,23913.0
333,14379.0
334,15889.0
335,14759.0
336,60269.0
337,40640.0
338,21351.0
339,21649.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,3116.0
347,4626.0
348,45245.0
349,22342.0
350,16634.0
351,11710.0
352,2761.0
353,3038.0
354,40695.0
355,23484.0
356,14231.0
357,10407.0
358,5705.0
359,4485.0
360,43977.0
361,30119.0
362,14816.0
363,12784.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,4863.0
395,16187.0
396,37538.0
397,7070.0
398,22508.0
399,9173.0
400,6992.0
401,16573.0
402,40022.0
403,4801.0
404,32428.0
405,9501.0
406,58619.0
407,38260.0
408,51373.0
409,14257.0
410,30306.0
411,23842.0
412,51320.0
413,51064.0
414,53869.0
415,20863.0
416,28874.0
417,39048.0
418,5086.0
419,11372.0
420,42929.0
421,11847.0
422,20915.0
423,9468.0
424,4317.0
425,8951.0
426,43194.0
427,13014.0
428,25721.0
429,10531.0
430,20937.0
431,9039.0
432,49931.0
433,36236.0
434,26427.0
435,20749.0
436,28645.0
437,19363.0
438,65272.0
439,48879.0
440,31638.0
441,28389.0
442,1545.0
443,3798.0
444,40127.0
445,14201.0
446,14909.0
447,8046.0
448,1572.0
449,3083.0
450,36336.0
451,14980.0
452,12409.0
453,9239.0
454,2471.0
455,3432.0
456,36774.0
457,22292.0
458,10804.0
459,8383.0
460,5129.0
461,7719.0
462,42028.0
463,29044.0
464,7102.0
465,12702.0
466,1167.0
467,1603.0
468,36780.0
469,17402.0
470,8779.0
471,7926.0
472,1180.0
473,1044.0
474,29106.0
475,15252.0
476,6893.0
477,6827.0
478,1061.0
479,1076.0
480,27784.0
481,16116.0
482,5320.0
483,5929.0
484,2707.0
485,1267.0
486,31498.0
487,17942.0
488,7833.0
489,7847.0
490,1441.0
491,6640.0
492,32674.0
493,4952.0
494,17145.0
495,6755.0
496,6503.0
497,7054.0
498,41677.0
499,11108.0
500,51476.0
501,5928.0
502,110124.0
503,19623.0
504,56484.0
505,57035.0
506,61583.0
507,47187.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,1157.0
515,3437.0
516,31606.0
517,8855.0
518,13281.0
519,7146.0
520,1643.0
521,3191.0
522,31979.0
523,18195.0
524,14551.0
525,5683.0
526,2028.0
527,3444.0
528,36570.0
529,28549.0
530,9146.0
531,7755.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,1219.0
539,1300.0
540,27882.0
541,11129.0
542,7113.0
543,6092.0
544,998.0
545,1324.0
546,25864.0
547,13614.0
548,5680.0
549,4890.0
550,888.0
551,1205.0
552,25239.0
553,14932.0
554,3310.0
555,5507.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,1174.0
587,8490.0
588,30656.0
589,1972.0
590,14443.0
591,5695.0
592,1500.0
593,7915.0
594,28576.0
595,1670.0
596,25707.0
597,5123.0
598,1795.0
599,53187.0
600,64216.0
601,1489.0
602,34938.0
603,4568.0
604,1231.0
605,16853.0
606,57528.0
607,2828.0
608,3240.0
609,27485.0
610,1440.0
611,4573.0
612,29480.0
613,5764.0
614,15283.0
615,5213.0
616,1904.0
617,2991.0
618,27936.0
619,9489.0
620,23657.0
621,5349.0
622,2007.0
623,2920.0
624,40860.0
625,53714.0
626,18512.0
627,4922.0
628,1260.0
629,3548.0
630,44273.0
631,21168.0
632,2901.0
633,18182.0
634,1172.0
635,1935.0
636,28457.0
637,10009.0
638,10679.0
639,5718.0
640,1273.0
641,1296.0
642,23411.0
643,13266.0
644,9612.0
645,5682.0
646,1204.0
647,1516.0
648,24083.0
649,17804.0
650,5933.0
651,4645.0
652,939.0
653,2005.0
654,26691.0
655,15857.0
656,1648.0
657,6784.0
658,1063.0
659,830.0
660,24490.0
661,11521.0
662,6030.0
663,5301.0
664,1070.0
665,768.0
666,20335.0
667,11708.0
668,4426.0
669,4622.0
670,915.0
671,770.0
