,x1,y1,z1,x2,y2,z2
191,-3.98983,13.77553,-4.395,-0.9022,0.94488,14.943
192,-0.9022,0.94488,14.943,14.18715,3.99885,-2.781
193,14.18715,3.99885,-2.781,-0.9022,0.94488,14.943
194,-0.9022,0.94488,14.943,9.08431,-7.11359,-9.585
195,9.08431,-7.11359,-9.585,-0.9022,0.94488,14.943
196,-0.9022,0.94488,14.943,3.80936,14.45523,-1.239
197,3.80936,14.45523,-1.239,-0.9022,0.94488,14.943
198,-0.9022,0.94488,14.943,4.06417,14.28495,-2.103
199,4.06417,14.28495,-2.103,-0.9022,0.94488,14.943
200,1.37026,-0.09177,14.937,10.61088,10.45806,-1.743
201,10.61088,10.45806,-1.743,1.37026,-0.09177,14.937
202,1.37026,-0.09177,14.937,11.8341,1.03286,-9.159
203,11.8341,1.03286,-9.159,1.37026,-0.09177,14.937
204,1.37026,-0.09177,14.937,0.4815,-11.78048,-9.273
205,0.4815,-11.78048,-9.273,1.37026,-0.09177,14.937
206,1.37026,-0.09177,14.937,-0.59207,3.22609,-14.637
207,-0.59207,3.22609,-14.637,1.37026,-0.09177,14.937
208,1.37026,-0.09177,14.937,4.04998,11.78099,-8.355
209,4.04998,11.78099,-8.355,1.37026,-0.09177,14.937
210,1.37026,-0.09177,14.937,-3.98983,13.77553,-4.395
211,-3.98983,13.77553,-4.395,1.37026,-0.09177,14.937
212,1.37026,-0.09177,14.937,14.18715,3.99885,-2.781
213,14.18715,3.99885,-2.781,1.37026,-0.09177,14.937
214,1.37026,-0.09177,14.937,9.08431,-7.11359,-9.585
215,9.08431,-7.11359,-9.585,1.37026,-0.09177,14.937
216,1.37026,-0.09177,14.937,3.80936,14.45523,-1.239
217,3.80936,14.45523,-1.239,1.37026,-0.09177,14.937
218,1.37026,-0.09177,14.937,4.06417,14.28495,-2.103
219,4.06417,14.28495,-2.103,1.37026,-0.09177,14.937
220,-1.12217,-0.89776,14.931,10.61088,10.45806,-1.743
221,10.61088,10.45806,-1.743,-1.12217,-0.89776,14.931
222,-1.12217,-0.89776,14.931,11.8341,1.03286,-9.159
223,11.8341,1.03286,-9.159,-1.12217,-0.89776,14.931
224,-1.12217,-0.89776,14.931,13.4207,6.56526,1.335
225,13.4207,6.56526,1.335,-1.12217,-0.89776,14.931
226,-1.12217,-0.89776,14.931,0.4815,-11.78048,-9.273
227,0.4815,-11.78048,-9.273,-1.12217,-0.89776,14.931
228,-1.12217,-0.89776,14.931,-0.59207,3.22609,-14.637
229,-0.59207,3.22609,-14.637,-1.12217,-0.89776,14.931
230,-1.12217,-0.89776,14.931,4.04998,11.78099,-8.355
231,4.04998,11.78099,-8.355,-1.12217,-0.89776,14.931
232,-1.12217,-0.89776,14.931,-3.98983,13.77553,-4.395
233,-3.98983,13.77553,-4.395,-1.12217,-0.89776,14.931
234,-1.12217,-0.89776,14.931,14.18715,3.99885,-2.781
235,14.18715,3.99885,-2.781,-1.12217,-0.89776,14.931
236,-1.12217,-0.89776,14.931,9.08431,-7.11359,-9.585
237,9.08431,-7.11359,-9.585,-1.12217,-0.89776,14.931
238,-1.12217,-0.89776,14.931,3.80936,14.45523,-1.239
239,3.80936,14.45523,-1.239,-1.12217,-0.89776,14.931
240,0.23041,1.4803,14.925,10.61088,10.45806,-1.743
241,10.61088,10.45806,-1.743,0.23041,1.4803,14.925
242,0.23041,1.4803,14.925,11.8341,1.03286,-9.159
243,11.8341,1.03286,-9.159,0.23041,1.4803,14.925
